iter	Passed	Remaining
0	139	138964
1	138	69213
2	140	46558
3	141	35320
4	143	28547
5	145	24046
6	146	20787
7	147	18345
8	149	16457
9	150	14902
10	151	13663
11	152	12592
12	154	11749
13	156	10993
14	157	10333
15	158	9752
16	159	9238
17	161	8822
18	163	8428
19	165	8093
20	166	7772
21	168	7496
22	169	7212
23	171	6962
24	172	6732
25	173	6517
26	175	6328
27	176	6136
28	178	5963
29	179	5806
30	180	5652
31	182	5517
32	183	5380
33	184	5253
34	186	5134
35	188	5037
36	189	4926
37	190	4828
38	191	4730
39	193	4651
40	195	4572
41	196	4488
42	198	4410
43	200	4348
44	201	4284
45	203	4214
46	204	4154
47	206	4095
48	208	4040
49	209	3985
50	211	3931
51	213	3886
52	214	3837
53	216	3788
54	217	3740
55	219	3700
56	221	3657
57	222	3613
58	224	3576
59	226	3542
60	228	3515
61	229	3477
62	231	3440
63	232	3406
64	234	3372
65	235	3339
66	237	3311
67	240	3292
68	242	3270
69	244	3243
70	246	3219
71	247	3192
72	249	3162
73	250	3134
74	253	3125
75	255	3104
76	256	3079
77	260	3073
78	261	3051
79	263	3027
80	264	3002
81	265	2972
82	268	2971
83	271	2955
84	273	2949
85	276	2934
86	276	2904
87	279	2895
88	282	2889
89	285	2891
90	287	2876
91	289	2859
92	291	2841
93	293	2829
94	296	2820
95	297	2806
96	300	2797
97	302	2783
98	304	2767
99	306	2754
100	307	2738
101	309	2721
102	310	2705
103	312	2692
104	312	2662
105	315	2665
106	317	2649
107	319	2638
108	319	2608
109	320	2595
110	322	2582
111	324	2572
112	326	2561
113	328	2552
114	330	2545
115	333	2539
116	334	2528
117	336	2515
118	338	2503
119	339	2492
120	341	2479
121	343	2471
122	345	2460
123	347	2452
124	348	2442
125	350	2433
126	352	2421
127	353	2407
128	355	2401
129	357	2395
130	359	2385
131	361	2375
132	363	2368
133	365	2360
134	366	2350
135	369	2345
136	371	2338
137	372	2327
138	374	2318
139	376	2315
140	378	2308
141	380	2300
142	382	2291
143	384	2284
144	385	2274
145	387	2265
146	389	2262
147	391	2254
148	393	2245
149	395	2240
150	397	2232
151	398	2225
152	400	2216
153	402	2211
154	404	2202
155	405	2196
156	407	2187
157	409	2184
158	411	2176
159	413	2168
160	415	2162
161	416	2155
162	418	2148
163	420	2141
164	422	2137
165	423	2129
166	425	2121
167	427	2116
168	429	2110
169	430	2101
170	431	2093
171	433	2086
172	435	2079
173	436	2072
174	438	2065
175	439	2058
176	441	2051
177	442	2044
178	444	2038
179	446	2031
180	448	2028
181	449	2021
182	451	2015
183	453	2010
184	454	2004
185	456	1998
186	458	1992
187	459	1986
188	461	1980
189	462	1973
190	464	1967
191	465	1960
192	468	1957
193	469	1952
194	471	1945
195	473	1941
196	475	1937
197	476	1930
198	478	1924
199	479	1919
200	481	1914
201	483	1910
202	485	1905
203	487	1902
204	488	1896
205	490	1890
206	491	1884
207	493	1879
208	494	1873
209	496	1868
210	498	1862
211	500	1859
212	502	1855
213	503	1849
214	505	1845
215	507	1842
216	509	1837
217	510	1831
218	512	1827
219	514	1823
220	515	1818
221	517	1812
222	518	1808
223	520	1803
224	522	1798
225	523	1793
226	525	1790
227	527	1787
228	529	1784
229	531	1779
230	533	1774
231	534	1770
232	536	1765
233	537	1759
234	539	1755
235	540	1750
236	542	1745
237	543	1740
238	545	1737
239	547	1733
240	548	1728
241	550	1724
242	552	1719
243	553	1715
244	555	1711
245	556	1706
246	558	1703
247	560	1699
248	562	1695
249	563	1691
250	565	1687
251	567	1683
252	568	1679
253	570	1675
254	572	1671
255	573	1667
256	575	1663
257	577	1659
258	578	1656
259	580	1652
260	582	1648
261	584	1645
262	585	1641
263	587	1637
264	588	1633
265	590	1630
266	592	1626
267	594	1623
268	595	1619
269	597	1615
270	599	1611
271	600	1608
272	602	1604
273	604	1601
274	605	1597
275	607	1594
276	609	1591
277	611	1588
278	613	1584
279	614	1580
280	616	1576
281	618	1573
282	619	1570
283	621	1566
284	622	1562
285	624	1559
286	626	1556
287	628	1552
288	629	1549
289	632	1547
290	633	1544
291	635	1540
292	637	1538
293	639	1535
294	641	1532
295	643	1530
296	644	1526
297	645	1521
298	647	1518
299	649	1514
300	650	1510
301	652	1507
302	653	1504
303	655	1500
304	657	1497
305	658	1494
306	660	1490
307	662	1488
308	664	1485
309	665	1481
310	667	1478
311	669	1475
312	671	1473
313	673	1470
314	674	1467
315	676	1464
316	678	1462
317	680	1458
318	681	1455
319	683	1452
320	684	1448
321	686	1445
322	688	1442
323	689	1438
324	691	1435
325	692	1432
326	694	1428
327	695	1425
328	697	1422
329	698	1418
330	700	1415
331	702	1413
332	704	1410
333	708	1413
334	710	1411
335	713	1410
336	716	1408
337	718	1406
338	720	1403
339	722	1402
340	724	1399
341	725	1396
342	727	1394
343	729	1391
344	730	1387
345	732	1384
346	734	1381
347	736	1379
348	738	1376
349	739	1373
350	741	1370
351	742	1367
352	744	1364
353	745	1361
354	747	1358
355	749	1356
356	752	1354
357	754	1353
358	756	1350
359	757	1347
360	759	1343
361	761	1341
362	762	1338
363	764	1336
364	766	1333
365	768	1331
366	770	1328
367	771	1325
